ICES rectangle,country,annex,regulated area,regulated gear,specon,vessel length,year,Effective Effort,area,fishery,gear,quarter,mesh_size_range
38F0,NLD,IIA,3B2,BT2,NONE,O15M,2008,20,4,FLAT,BEAM,1,80-89
38F2,NLD,IIA,3B2,BT2,NONE,O15M,2008,1,4,FLAT,BEAM,1,80-89
38F5,NLD,IIA,3B2,BT2,NONE,O15M,2008,914,4,FLAT,BEAM,1,80-89
38F6,NLD,IIA,3B2,BT2,NONE,O15M,2008,1130,4,FLAT,BEAM,1,80-89
38F7,NLD,IIA,3B2,BT2,NONE,O15M,2008,72,4,FLAT,BEAM,1,80-89
39F5,NLD,IIA,3B2,BT2,NONE,O15M,2008,23,4,FLAT,BEAM,1,80-89
39F6,NLD,IIA,3B2,BT2,NONE,O15M,2008,269,4,FLAT,BEAM,1,80-89
40F4,NLD,IIA,3B2,BT2,NONE,O15M,2008,10,4,FLAT,BEAM,1,80-89
40F5,NLD,IIA,3B2,BT2,NONE,O15M,2008,68,4,FLAT,BEAM,1,80-89
40F6,NLD,IIA,3B2,BT2,NONE,O15M,2008,75,4,FLAT,BEAM,1,80-89
41F5,NLD,IIA,3B2,BT2,NONE,O15M,2008,4,4,FLAT,BEAM,1,80-89
33F3,SCO,IIA,3B2,BEAM,NONE,O15M,2008,48,4,NONE,BEAM,1,<16
39F3,SCO,IIA,3B2,BT1,NONE,O15M,2008,54,4,NONE,BEAM,1,>=120
40F4,SCO,IIA,3B2,BT1,NONE,O15M,2008,144,4,NONE,BEAM,1,>=120
40F5,SCO,IIA,3B2,BT1,NONE,O15M,2008,78,4,NONE,BEAM,1,>=120
41F5,SCO,IIA,3B2,BT1,NONE,O15M,2008,138,4,NONE,BEAM,1,>=120
37F2,SCO,IIA,3B2,BT2,NONE,O15M,2008,30,4,NONE,BEAM,1,100-119
38F2,SCO,IIA,3B2,BT2,NONE,O15M,2008,24,4,NONE,BEAM,1,100-119
38F3,SCO,IIA,3B2,BT2,NONE,O15M,2008,54,4,NONE,BEAM,1,100-119
39F3,SCO,IIA,3B2,BT2,NONE,O15M,2008,83,4,NONE,BEAM,1,100-119
39F4,SCO,IIA,3B2,BT2,NONE,O15M,2008,240,4,NONE,BEAM,1,100-119
40F4,SCO,IIA,3B2,BT2,NONE,O15M,2008,30,4,NONE,BEAM,1,100-119
40F5,SCO,IIA,3B2,BT2,NONE,O15M,2008,90,4,NONE,BEAM,1,100-119
32F3,SCO,IIA,3B2,BT2,NONE,O15M,2008,24,4,NONE,BEAM,1,80-89
33F3,SCO,IIA,3B2,BT2,NONE,O15M,2008,19,4,NONE,BEAM,1,80-89
34F3,SCO,IIA,3B2,BT2,NONE,O15M,2008,32,4,NONE,BEAM,1,80-89
34F4,SCO,IIA,3B2,BT2,NONE,O15M,2008,24,4,NONE,BEAM,1,80-89
35F3,SCO,IIA,3B2,BT2,NONE,O15M,2008,32,4,NONE,BEAM,1,80-89
35F4,SCO,IIA,3B2,BT2,NONE,O15M,2008,43,4,NONE,BEAM,1,80-89
36F2,SCO,IIA,3B2,BT2,NONE,O15M,2008,168,4,NONE,BEAM,1,80-89
36F3,SCO,IIA,3B2,BT2,NONE,O15M,2008,32,4,NONE,BEAM,1,80-89
36F4,SCO,IIA,3B2,BT2,NONE,O15M,2008,518,4,NONE,BEAM,1,80-89
36F5,SCO,IIA,3B2,BT2,NONE,O15M,2008,578,4,NONE,BEAM,1,80-89
36F6,SCO,IIA,3B2,BT2,NONE,O15M,2008,56,4,NONE,BEAM,1,80-89
37F1,SCO,IIA,3B2,BT2,NONE,O15M,2008,58,4,NONE,BEAM,1,80-89
37F2,SCO,IIA,3B2,BT2,NONE,O15M,2008,29,4,NONE,BEAM,1,80-89
37F3,SCO,IIA,3B2,BT2,NONE,O15M,2008,290,4,NONE,BEAM,1,80-89
37F4,SCO,IIA,3B2,BT2,NONE,O15M,2008,572,4,NONE,BEAM,1,80-89
37F5,SCO,IIA,3B2,BT2,NONE,O15M,2008,2216,4,NONE,BEAM,1,80-89
37F6,SCO,IIA,3B2,BT2,NONE,O15M,2008,418,4,NONE,BEAM,1,80-89
38F4,SCO,IIA,3B2,BT2,NONE,O15M,2008,634,4,NONE,BEAM,1,80-89
38F5,SCO,IIA,3B2,BT2,NONE,O15M,2008,621,4,NONE,BEAM,1,80-89
38F6,SCO,IIA,3B2,BT2,NONE,O15M,2008,688,4,NONE,BEAM,1,80-89
38F7,SCO,IIA,3B2,BT2,NONE,O15M,2008,72,4,NONE,BEAM,1,80-89
39F4,SCO,IIA,3B2,BT2,NONE,O15M,2008,24,4,NONE,BEAM,1,80-89
39F5,SCO,IIA,3B2,BT2,NONE,O15M,2008,20,4,NONE,BEAM,1,80-89
39F6,SCO,IIA,3B2,BT2,NONE,O15M,2008,107,4,NONE,BEAM,1,80-89
40F5,SCO,IIA,3B2,BT2,NONE,O15M,2008,54,4,NONE,BEAM,1,80-89
40F6,SCO,IIA,3B2,BT2,NONE,O15M,2008,89,4,NONE,BEAM,1,80-89
31F1,BEL,IIA,3B2,TR2,NONE,O10T15M,2008,40,4,NONE,OTTER,1,70-79
42F7,DNK,IIA,3B2,TR1,NONE,O10T15M,2008,113,4,DNK_DEM_TRAWL__N,OTTER,1,>=120
42F8,DNK,IIA,3B2,TR1,NONE,O10T15M,2008,376,4,DNK_DEM_TRAWL__N,OTTER,1,>=120
43F8,DNK,IIA,3B2,TR1,NONE,O10T15M,2008,331,4,DNK_DEM_TRAWL__N,OTTER,1,>=120
42F8,DNK,IIA,3B2,TR1,NONE,O10T15M,2008,76,4,DNK_DEM_TRAWL__N,OTTER,1,100-119
43F8,DNK,IIA,3B2,TR1,NONE,O10T15M,2008,15,4,DNK_DEM_TRAWL__N,OTTER,1,100-119
42F8,DNK,IIA,3B2,OTTER,NONE,O10T15M,2008,14,4,DNK_REST_NORD__N,OTTER,1,32-54
31F1,ENG,IIA,3B2,TR1,NONE,O10T15M,2008,328,4,NONE,OTTER,1,>=120
32F1,ENG,IIA,3B2,TR1,NONE,O10T15M,2008,72,4,NONE,OTTER,1,>=120
33F1,ENG,IIA,3B2,TR1,NONE,O10T15M,2008,24,4,NONE,OTTER,1,>=120
33F2,ENG,IIA,3B2,TR1,NONE,O10T15M,2008,560,4,NONE,OTTER,1,>=120
36F0,ENG,IIA,3B2,TR1,NONE,O10T15M,2008,72,4,NONE,OTTER,1,>=120
36F1,ENG,IIA,3B2,TR1,NONE,O10T15M,2008,24,4,NONE,OTTER,1,>=120
37E9,ENG,IIA,3B2,TR1,NONE,O10T15M,2008,576,4,NONE,OTTER,1,>=120
37F0,ENG,IIA,3B2,TR1,NONE,O10T15M,2008,1968,4,NONE,OTTER,1,>=120
38E9,ENG,IIA,3B2,TR1,NONE,O10T15M,2008,48,4,NONE,OTTER,1,>=120
39E9,ENG,IIA,3B2,TR1,NONE,O10T15M,2008,72,4,NONE,OTTER,1,>=120
31F1,ENG,IIA,3B2,TR1,NONE,O10T15M,2008,48,4,NONE,OTTER,1,100-119
36F0,ENG,IIA,3B2,TR1,NONE,O10T15M,2008,48,4,NONE,OTTER,1,100-119
36F1,ENG,IIA,3B2,TR1,NONE,O10T15M,2008,48,4,NONE,OTTER,1,100-119
31F0,ENG,IIA,3B2,TR3,NONE,O10T15M,2008,96,4,NONE,OTTER,1,16-31
32F0,ENG,IIA,3B2,TR3,NONE,O10T15M,2008,24,4,NONE,OTTER,1,16-31
31F0,ENG,IIA,3B2,TR2,NONE,O10T15M,2008,408,4,NONE,OTTER,1,80-89
42F8,DNK,IIA,3B2,DREDGE,NONE,U10M,2008,498,4,DNK_NONE,DREDGE,1,NONE
42F8,DNK,IIA,3B2,DREDGE,NONE,U10M,2008,12,4,DNK_REST_NORD__N,DREDGE,1,NONE
31F1,ENG,IIA,3B2,DREDGE,NONE,U10M,2008,1056,4,NONE,DREDGE,1,<16
37E9,ENG,IIA,3B2,DREDGE,NONE,U10M,2008,48,4,NONE,DREDGE,1,<16
38E8,ENG,IIA,3B2,DREDGE,NONE,U10M,2008,24,4,NONE,DREDGE,1,<16
39E8,ENG,IIA,3B2,DREDGE,NONE,U10M,2008,144,4,NONE,DREDGE,1,<16
41E7,SCO,IIA,3B2,DREDGE,NONE,U10M,2008,1404,4,NONE,DREDGE,1,NONE
45E6,SCO,IIA,3B2,DREDGE,NONE,U10M,2008,24,4,NONE,DREDGE,1,NONE
46E6,SCO,IIA,3B2,DREDGE,NONE,U10M,2008,60,4,NONE,DREDGE,1,NONE
