ICES rectangle,country,annex,regulated area,regulated gear,specon,vessel length,year,Effective Effort
38F8,DEU,IIA,3B2,BEAM,NONE,O15M,2006,5405
39F6,DEU,IIA,3B2,BEAM,NONE,O15M,2006,58
39F7,DEU,IIA,3B2,BEAM,NONE,O15M,2006,982
39F8,DEU,IIA,3B2,BEAM,NONE,O15M,2006,1005
40F4,DEU,IIA,3B2,BEAM,NONE,O15M,2006,6
40F7,DEU,IIA,3B2,BEAM,NONE,O15M,2006,265
36F8,DEU,IIA,3B2,BEAM,NONE,O15M,2006,10
33F2,DEU,IIA,3B2,BT2,NONE,O15M,2006,339
33F3,DEU,IIA,3B2,BT2,NONE,O15M,2006,66
33F4,DEU,IIA,3B2,BT2,NONE,O15M,2006,34
34F3,DEU,IIA,3B2,BT2,NONE,O15M,2006,781
34F4,DEU,IIA,3B2,BT2,NONE,O15M,2006,655
35F3,DEU,IIA,3B2,BT2,NONE,O15M,2006,163
35F4,DEU,IIA,3B2,BT2,NONE,O15M,2006,1097
36F2,DEU,IIA,3B2,BT2,NONE,O15M,2006,315
36F3,DEU,IIA,3B2,BT2,NONE,O15M,2006,637
36F4,DEU,IIA,3B2,BT2,NONE,O15M,2006,2560
36F5,DEU,IIA,3B2,BT2,NONE,O15M,2006,1020
36F6,DEU,IIA,3B2,BT2,NONE,O15M,2006,99
37F1,DEU,IIA,3B2,BT2,NONE,O15M,2006,20
37F2,DEU,IIA,3B2,BT2,NONE,O15M,2006,146
37F3,DEU,IIA,3B2,BT2,NONE,O15M,2006,80
37F4,DEU,IIA,3B2,BT2,NONE,O15M,2006,1654
37F5,DEU,IIA,3B2,BT2,NONE,O15M,2006,1230
37F6,DEU,IIA,3B2,BT2,NONE,O15M,2006,20
38F4,DEU,IIA,3B2,BT2,NONE,O15M,2006,172
38F6,DEU,IIA,3B2,BT2,NONE,O15M,2006,60
39F6,DEU,IIA,3B2,BT2,NONE,O15M,2006,8
39F7,DEU,IIA,3B2,BT2,NONE,O15M,2006,14
40F7,DEU,IIA,3B2,BT2,NONE,O15M,2006,38
39F7,DNK,IIA,3B2,BEAM,NONE,O15M,2006,43
39F8,DNK,IIA,3B2,BEAM,NONE,O15M,2006,156
40F7,DNK,IIA,3B2,BEAM,NONE,O15M,2006,55
40F8,DNK,IIA,3B2,BEAM,NONE,O15M,2006,18
37F6,DNK,IIA,3B2,BT1,NONE,O15M,2006,22
37F7,DNK,IIA,3B2,BT1,NONE,O15M,2006,24
37F8,DNK,IIA,3B2,BT1,NONE,O15M,2006,3
38F6,DNK,IIA,3B2,BT1,NONE,O15M,2006,240
39F6,DNK,IIA,3B2,BT1,NONE,O15M,2006,1528
39F8,DNK,IIA,3B2,BT1,NONE,O15M,2006,6
40F5,DNK,IIA,3B2,BT1,NONE,O15M,2006,24
40F6,DNK,IIA,3B2,BT1,NONE,O15M,2006,95
40F7,DNK,IIA,3B2,BT1,NONE,O15M,2006,26
41F5,DNK,IIA,3B2,BT1,NONE,O15M,2006,72
41F6,DNK,IIA,3B2,BT1,NONE,O15M,2006,67
41F7,DNK,IIA,3B2,BT1,NONE,O15M,2006,210
41F8,DNK,IIA,3B2,BT1,NONE,O15M,2006,23
42F6,DNK,IIA,3B2,BT1,NONE,O15M,2006,177
42F7,DNK,IIA,3B2,BT1,NONE,O15M,2006,154
43F6,DNK,IIA,3B2,BT1,NONE,O15M,2006,44
43F7,DNK,IIA,3B2,BT1,NONE,O15M,2006,243
43F8,DNK,IIA,3B2,BT1,NONE,O15M,2006,316
37F8,DNK,IIA,3B2,BT1,NONE,O15M,2006,55
39F6,DNK,IIA,3B2,BT2,NONE,O15M,2006,382
39F7,DNK,IIA,3B2,BT2,NONE,O15M,2006,24
37F7,DNK,IIA,3B2,BEAM,NONE,O15M,2006,37
37F8,DNK,IIA,3B2,BEAM,NONE,O15M,2006,874
38F7,DNK,IIA,3B2,BEAM,NONE,O15M,2006,54
39F7,DNK,IIA,3B2,BEAM,NONE,O15M,2006,1012
39F8,DNK,IIA,3B2,BEAM,NONE,O15M,2006,2866
40F6,DNK,IIA,3B2,BEAM,NONE,O15M,2006,133
40F7,DNK,IIA,3B2,BEAM,NONE,O15M,2006,5168
40F8,DNK,IIA,3B2,BEAM,NONE,O15M,2006,4129
41F7,DNK,IIA,3B2,BEAM,NONE,O15M,2006,440
41F8,DNK,IIA,3B2,BEAM,NONE,O15M,2006,189
42F8,DNK,IIA,3B2,BEAM,NONE,O15M,2006,207
40F7,DNK,IIA,3B2,BEAM,NONE,O15M,2006,24
40F8,DNK,IIA,3B2,BEAM,NONE,O15M,2006,45
40F8,DNK,IIA,3B2,BT2,NONE,O15M,2006,91
41F8,DNK,IIA,3B2,BT2,NONE,O15M,2006,19
38F3,ENG,IIA,3B2,BEAM,NONE,O15M,2006,24
39F3,ENG,IIA,3B2,BEAM,NONE,O15M,2006,64
39F4,ENG,IIA,3B2,BEAM,NONE,O15M,2006,72
39F6,ENG,IIA,3B2,BEAM,NONE,O15M,2006,120
40F4,ENG,IIA,3B2,BEAM,NONE,O15M,2006,32
37F3,ENG,IIA,3B2,BT1,NONE,O15M,2006,30
38F3,ENG,IIA,3B2,BT1,NONE,O15M,2006,29
39F2,ENG,IIA,3B2,BT1,NONE,O15M,2006,24
39F3,ENG,IIA,3B2,BT1,NONE,O15M,2006,58
39F4,ENG,IIA,3B2,BT1,NONE,O15M,2006,115
39F5,ENG,IIA,3B2,BT1,NONE,O15M,2006,29
39F6,ENG,IIA,3B2,BT1,NONE,O15M,2006,24
39F7,ENG,IIA,3B2,BT1,NONE,O15M,2006,54
40F4,ENG,IIA,3B2,BT1,NONE,O15M,2006,53
40F5,ENG,IIA,3B2,BT1,NONE,O15M,2006,86
40F6,ENG,IIA,3B2,BT1,NONE,O15M,2006,77
40F7,ENG,IIA,3B2,BT1,NONE,O15M,2006,102
41F4,ENG,IIA,3B2,BT1,NONE,O15M,2006,24
41F5,ENG,IIA,3B2,BT1,NONE,O15M,2006,360
41F6,ENG,IIA,3B2,BT1,NONE,O15M,2006,233
41F7,ENG,IIA,3B2,BT1,NONE,O15M,2006,143
33F2,ENG,IIA,3B2,BT2,NONE,O15M,2006,86
33F3,ENG,IIA,3B2,BT2,NONE,O15M,2006,29
34F2,ENG,IIA,3B2,BT2,NONE,O15M,2006,29
37F3,ENG,IIA,3B2,BT2,NONE,O15M,2006,115
38F2,ENG,IIA,3B2,BT2,NONE,O15M,2006,86
38F3,ENG,IIA,3B2,BT2,NONE,O15M,2006,169
38F4,ENG,IIA,3B2,BT2,NONE,O15M,2006,203
38F5,ENG,IIA,3B2,BT2,NONE,O15M,2006,94
38F6,ENG,IIA,3B2,BT2,NONE,O15M,2006,82
39F2,ENG,IIA,3B2,BT2,NONE,O15M,2006,29
39F3,ENG,IIA,3B2,BT2,NONE,O15M,2006,938
39F4,ENG,IIA,3B2,BT2,NONE,O15M,2006,1546
39F5,ENG,IIA,3B2,BT2,NONE,O15M,2006,396
39F6,ENG,IIA,3B2,BT2,NONE,O15M,2006,314
40F3,ENG,IIA,3B2,BT2,NONE,O15M,2006,29
40F4,ENG,IIA,3B2,BT2,NONE,O15M,2006,540
40F5,ENG,IIA,3B2,BT2,NONE,O15M,2006,89
40F6,ENG,IIA,3B2,BT2,NONE,O15M,2006,60
31F4,ENG,IIA,3B2,BEAM,NONE,O15M,2006,36
34F0,ENG,IIA,3B2,BEAM,NONE,O15M,2006,120
34F1,ENG,IIA,3B2,BEAM,NONE,O15M,2006,156
35F0,ENG,IIA,3B2,BEAM,NONE,O15M,2006,1920
35F1,ENG,IIA,3B2,BEAM,NONE,O15M,2006,336
31F1,ENG,IIA,3B2,BT2,NONE,O15M,2006,111
32F1,ENG,IIA,3B2,BT2,NONE,O15M,2006,60
32F2,ENG,IIA,3B2,BT2,NONE,O15M,2006,252
33F2,ENG,IIA,3B2,BT2,NONE,O15M,2006,1087
33F3,ENG,IIA,3B2,BT2,NONE,O15M,2006,1150
33F4,ENG,IIA,3B2,BT2,NONE,O15M,2006,132
34F1,ENG,IIA,3B2,BT2,NONE,O15M,2006,48
34F2,ENG,IIA,3B2,BT2,NONE,O15M,2006,366
34F3,ENG,IIA,3B2,BT2,NONE,O15M,2006,2126
34F4,ENG,IIA,3B2,BT2,NONE,O15M,2006,681
35F0,ENG,IIA,3B2,BT2,NONE,O15M,2006,24
35F1,ENG,IIA,3B2,BT2,NONE,O15M,2006,84
35F2,ENG,IIA,3B2,BT2,NONE,O15M,2006,582
35F3,ENG,IIA,3B2,BT2,NONE,O15M,2006,872
35F4,ENG,IIA,3B2,BT2,NONE,O15M,2006,350
36F0,ENG,IIA,3B2,BT2,NONE,O15M,2006,59
36F1,ENG,IIA,3B2,BT2,NONE,O15M,2006,174
36F2,ENG,IIA,3B2,BT2,NONE,O15M,2006,648
36F3,ENG,IIA,3B2,BT2,NONE,O15M,2006,740
36F4,ENG,IIA,3B2,BT2,NONE,O15M,2006,535
36F5,ENG,IIA,3B2,BT2,NONE,O15M,2006,214
36F6,ENG,IIA,3B2,BT2,NONE,O15M,2006,24
36F7,ENG,IIA,3B2,BT2,NONE,O15M,2006,24
37F0,ENG,IIA,3B2,BT2,NONE,O15M,2006,315
37F1,ENG,IIA,3B2,BT2,NONE,O15M,2006,166
37F2,ENG,IIA,3B2,BT2,NONE,O15M,2006,144
37F3,ENG,IIA,3B2,BT2,NONE,O15M,2006,283
37F4,ENG,IIA,3B2,BT2,NONE,O15M,2006,337
37F5,ENG,IIA,3B2,BT2,NONE,O15M,2006,583
37F6,ENG,IIA,3B2,BT2,NONE,O15M,2006,300
38E9,ENG,IIA,3B2,BT2,NONE,O15M,2006,24
38F0,ENG,IIA,3B2,BT2,NONE,O15M,2006,29
38F3,ENG,IIA,3B2,BT2,NONE,O15M,2006,72
38F4,ENG,IIA,3B2,BT2,NONE,O15M,2006,458
38F5,ENG,IIA,3B2,BT2,NONE,O15M,2006,706
38F6,ENG,IIA,3B2,BT2,NONE,O15M,2006,961
39F2,ENG,IIA,3B2,BT2,NONE,O15M,2006,48
39F3,ENG,IIA,3B2,BT2,NONE,O15M,2006,30
39F6,ENG,IIA,3B2,BT2,NONE,O15M,2006,434
39F7,ENG,IIA,3B2,BT2,NONE,O15M,2006,86
40F4,ENG,IIA,3B2,BT2,NONE,O15M,2006,30
40F6,ENG,IIA,3B2,BT2,NONE,O15M,2006,75
40F7,ENG,IIA,3B2,BT2,NONE,O15M,2006,144
31F2,FRA,IIA,3B2,BEAM,NONE,O15M,2006,188
31F2,FRA,IIA,3B2,BT2,NONE,O15M,2006,174
31F2,FRA,IIA,3B2,BT2,NONE,O15M,2006,10
31F3,NLD,IIA,3B2,BT1,NONE,O15M,2006,18
32F2,NLD,IIA,3B2,BT1,NONE,O15M,2006,59
32F3,NLD,IIA,3B2,BT1,NONE,O15M,2006,12
33F3,NLD,IIA,3B2,BT2,NONE,O15M,2006,226
36F2,NLD,IIA,3B2,BT2,NONE,O15M,2006,15
37F1,NLD,IIA,3B2,BT2,NONE,O15M,2006,51
38F2,NLD,IIA,3B2,BT2,NONE,O15M,2006,6
38F5,NLD,IIA,3B2,BT2,NONE,O15M,2006,20
39F0,NLD,IIA,3B2,BT2,NONE,O15M,2006,59
39F3,NLD,IIA,3B2,BT2,NONE,O15M,2006,41
39F4,NLD,IIA,3B2,BT2,NONE,O15M,2006,61
39F5,NLD,IIA,3B2,BT2,NONE,O15M,2006,4
40F3,NLD,IIA,3B2,BT2,NONE,O15M,2006,12
40F4,NLD,IIA,3B2,BT2,NONE,O15M,2006,263
40F5,NLD,IIA,3B2,BT2,NONE,O15M,2006,40
32F3,NLD,IIA,3B2,BEAM,NONE,O15M,2006,1011
32F4,NLD,IIA,3B2,BEAM,NONE,O15M,2006,299
33F3,NLD,IIA,3B2,BEAM,NONE,O15M,2006,596
33F4,NLD,IIA,3B2,BEAM,NONE,O15M,2006,722
34F4,NLD,IIA,3B2,BEAM,NONE,O15M,2006,46
35F4,NLD,IIA,3B2,BEAM,NONE,O15M,2006,40
35F5,NLD,IIA,3B2,BEAM,NONE,O15M,2006,44
36F4,NLD,IIA,3B2,BEAM,NONE,O15M,2006,22
36F5,NLD,IIA,3B2,BEAM,NONE,O15M,2006,26
38F7,NLD,IIA,3B2,BEAM,NONE,O15M,2006,28
40F7,NLD,IIA,3B2,BEAM,NONE,O15M,2006,124
31F1,NLD,IIA,3B2,BT2,NONE,O15M,2006,382
31F2,NLD,IIA,3B2,BT2,NONE,O15M,2006,3756
31F3,NLD,IIA,3B2,BT2,NONE,O15M,2006,417
32F1,NLD,IIA,3B2,BT2,NONE,O15M,2006,16
32F2,NLD,IIA,3B2,BT2,NONE,O15M,2006,5695
32F3,NLD,IIA,3B2,BT2,NONE,O15M,2006,5948
32F4,NLD,IIA,3B2,BT2,NONE,O15M,2006,29
33F1,NLD,IIA,3B2,BT2,NONE,O15M,2006,23
33F2,NLD,IIA,3B2,BT2,NONE,O15M,2006,4858
33F3,NLD,IIA,3B2,BT2,NONE,O15M,2006,10512
33F4,NLD,IIA,3B2,BT2,NONE,O15M,2006,1475
34F2,NLD,IIA,3B2,BT2,NONE,O15M,2006,3249
34F3,NLD,IIA,3B2,BT2,NONE,O15M,2006,9378
34F4,NLD,IIA,3B2,BT2,NONE,O15M,2006,5747
35F1,NLD,IIA,3B2,BT2,NONE,O15M,2006,757
35F2,NLD,IIA,3B2,BT2,NONE,O15M,2006,2448
35F3,NLD,IIA,3B2,BT2,NONE,O15M,2006,2568
35F4,NLD,IIA,3B2,BT2,NONE,O15M,2006,6111
35F5,NLD,IIA,3B2,BT2,NONE,O15M,2006,657
36F0,NLD,IIA,3B2,BT2,NONE,O15M,2006,340
36F1,NLD,IIA,3B2,BT2,NONE,O15M,2006,1259
36F2,NLD,IIA,3B2,BT2,NONE,O15M,2006,1976
36F3,NLD,IIA,3B2,BT2,NONE,O15M,2006,2377
36F4,NLD,IIA,3B2,BT2,NONE,O15M,2006,7753
36F5,NLD,IIA,3B2,BT2,NONE,O15M,2006,4955
36F6,NLD,IIA,3B2,BT2,NONE,O15M,2006,20
36F7,NLD,IIA,3B2,BT2,NONE,O15M,2006,12
37F0,NLD,IIA,3B2,BT2,NONE,O15M,2006,829
37F1,NLD,IIA,3B2,BT2,NONE,O15M,2006,2203
37F2,NLD,IIA,3B2,BT2,NONE,O15M,2006,655
37F3,NLD,IIA,3B2,BT2,NONE,O15M,2006,308
31F1,BEL,IIA,3B2,BEAM,NONE,O10T15M,2006,16
31F2,BEL,IIA,3B2,BEAM,NONE,O10T15M,2006,317
31F3,BEL,IIA,3B2,BEAM,NONE,O10T15M,2006,21
31F1,BEL,IIA,3B2,BT2,NONE,O10T15M,2006,37
31F2,BEL,IIA,3B2,BT2,NONE,O10T15M,2006,21
36F6,DEU,IIA,3B2,BEAM,NONE,O10T15M,2006,43
36F7,DEU,IIA,3B2,BEAM,NONE,O10T15M,2006,71
36F8,DEU,IIA,3B2,BEAM,NONE,O10T15M,2006,143
37F7,DEU,IIA,3B2,BEAM,NONE,O10T15M,2006,24
37F8,DEU,IIA,3B2,BEAM,NONE,O10T15M,2006,189
38F8,DEU,IIA,3B2,BEAM,NONE,O10T15M,2006,12
40F7,DNK,IIA,3B2,BT1,NONE,O10T15M,2006,2
40F8,DNK,IIA,3B2,BT1,NONE,O10T15M,2006,53
39F8,DNK,IIA,3B2,BEAM,NONE,O10T15M,2006,96
40F7,DNK,IIA,3B2,BEAM,NONE,O10T15M,2006,314
40F8,DNK,IIA,3B2,BEAM,NONE,O10T15M,2006,721
41F7,DNK,IIA,3B2,BEAM,NONE,O10T15M,2006,95
33F1,ENG,IIA,3B2,BEAM,NONE,O10T15M,2006,48
34F0,ENG,IIA,3B2,BEAM,NONE,O10T15M,2006,216
34F1,ENG,IIA,3B2,BEAM,NONE,O10T15M,2006,516
34F2,ENG,IIA,3B2,BEAM,NONE,O10T15M,2006,24
35F0,ENG,IIA,3B2,BEAM,NONE,O10T15M,2006,924
38E8,SCO,IIA,3B2,BEAM,NONE,O10T15M,2006,24
41F7,DEU,IIA,3B2,GN1,NONE,O15M,2006,60
42F7,DEU,IIA,3B2,GN1,NONE,O15M,2006,192
43F2,DEU,IIA,3B2,GN1,NONE,O15M,2006,16
43F6,DEU,IIA,3B2,GN1,NONE,O15M,2006,80
43F7,DEU,IIA,3B2,GN1,NONE,O15M,2006,282
45F3,DEU,IIA,3B2,GN1,NONE,O15M,2006,12
31F2,DEU,IIA,3B2,GN1,NONE,O15M,2006,60
32F2,DEU,IIA,3B2,GN1,NONE,O15M,2006,84
33F2,DEU,IIA,3B2,GN1,NONE,O15M,2006,12
43F8,DNK,IIA,3B2,GN1,NONE,O15M,2006,25
39F5,DNK,IIA,3B2,GN1,NONE,O15M,2006,288
40F8,DNK,IIA,3B2,GN1,NONE,O15M,2006,2
41F5,DNK,IIA,3B2,GN1,NONE,O15M,2006,24
41F6,DNK,IIA,3B2,GN1,NONE,O15M,2006,96
41F7,DNK,IIA,3B2,GN1,NONE,O15M,2006,274
43F8,DNK,IIA,3B2,GN1,NONE,O15M,2006,446
43F8,DNK,IIA,3B2,GN1,NONE,O15M,2006,88
40F8,DNK,IIA,3B2,GN1,NONE,O15M,2006,2
42F4,DNK,IIA,3B2,GN1,NONE,O15M,2006,24
42F6,DNK,IIA,3B2,GN1,NONE,O15M,2006,190
43F7,DNK,IIA,3B2,GN1,NONE,O15M,2006,24
43F8,DNK,IIA,3B2,GN1,NONE,O15M,2006,512
40F8,DNK,IIA,3B2,GN1,NONE,O15M,2006,1
43F7,DNK,IIA,3B2,GN1,NONE,O15M,2006,12
43F8,DNK,IIA,3B2,GN1,NONE,O15M,2006,52
41F7,DNK,IIA,3B2,GN1,NONE,O15M,2006,35
42F6,DNK,IIA,3B2,GN1,NONE,O15M,2006,96
36F6,DNK,IIA,3B2,GN1,NONE,O15M,2006,96
37F6,DNK,IIA,3B2,GN1,NONE,O15M,2006,24
38F3,DNK,IIA,3B2,GN1,NONE,O15M,2006,1104
38F4,DNK,IIA,3B2,GN1,NONE,O15M,2006,288
38F5,DNK,IIA,3B2,GN1,NONE,O15M,2006,192
38F6,DNK,IIA,3B2,GN1,NONE,O15M,2006,410
39F3,DNK,IIA,3B2,GN1,NONE,O15M,2006,23
39F5,DNK,IIA,3B2,GN1,NONE,O15M,2006,2151
39F6,DNK,IIA,3B2,GN1,NONE,O15M,2006,1662
40F4,DNK,IIA,3B2,GN1,NONE,O15M,2006,138
40F5,DNK,IIA,3B2,GN1,NONE,O15M,2006,2257
40F6,DNK,IIA,3B2,GN1,NONE,O15M,2006,2257
40F7,DNK,IIA,3B2,GN1,NONE,O15M,2006,932
40F8,DNK,IIA,3B2,GN1,NONE,O15M,2006,8
41F4,DNK,IIA,3B2,GN1,NONE,O15M,2006,72
41F6,DNK,IIA,3B2,GN1,NONE,O15M,2006,1219
41F7,DNK,IIA,3B2,GN1,NONE,O15M,2006,2423
42F6,DNK,IIA,3B2,GN1,NONE,O15M,2006,24
42F7,DNK,IIA,3B2,GN1,NONE,O15M,2006,480
42F8,DNK,IIA,3B2,GN1,NONE,O15M,2006,97
43F7,DNK,IIA,3B2,GN1,NONE,O15M,2006,67
43F8,DNK,IIA,3B2,GN1,NONE,O15M,2006,15
39F6,DNK,IIA,3B2,GN1,NONE,O15M,2006,71
40F5,DNK,IIA,3B2,GN1,NONE,O15M,2006,48
40F6,DNK,IIA,3B2,GN1,NONE,O15M,2006,95
40F7,DNK,IIA,3B2,GN1,NONE,O15M,2006,74
40F8,DNK,IIA,3B2,GN1,NONE,O15M,2006,221
41F5,DNK,IIA,3B2,GN1,NONE,O15M,2006,24
41F6,DNK,IIA,3B2,GN1,NONE,O15M,2006,119
41F7,DNK,IIA,3B2,GN1,NONE,O15M,2006,686
41F8,DNK,IIA,3B2,GN1,NONE,O15M,2006,44
42F6,DNK,IIA,3B2,GN1,NONE,O15M,2006,201
42F7,DNK,IIA,3B2,GN1,NONE,O15M,2006,1034
42F8,DNK,IIA,3B2,GN1,NONE,O15M,2006,66
43F2,DNK,IIA,3B2,GN1,NONE,O15M,2006,46
43F5,DNK,IIA,3B2,GN1,NONE,O15M,2006,24
43F6,DNK,IIA,3B2,GN1,NONE,O15M,2006,24
43F7,DNK,IIA,3B2,GN1,NONE,O15M,2006,72
43F8,DNK,IIA,3B2,GN1,NONE,O15M,2006,422
44F5,DNK,IIA,3B2,GN1,NONE,O15M,2006,48
45F4,DNK,IIA,3B2,GN1,NONE,O15M,2006,24
40F6,DNK,IIA,3B2,GN1,NONE,O15M,2006,71
41F7,DNK,IIA,3B2,GN1,NONE,O15M,2006,75
41F8,DNK,IIA,3B2,GN1,NONE,O15M,2006,5
42F6,DNK,IIA,3B2,GN1,NONE,O15M,2006,1052
42F7,DNK,IIA,3B2,GN1,NONE,O15M,2006,88
42F8,DNK,IIA,3B2,GN1,NONE,O15M,2006,12
43F8,DNK,IIA,3B2,GN1,NONE,O15M,2006,17
41F7,DNK,IIA,3B2,GN1,NONE,O15M,2006,46
49E6,ENG,IIA,3B2,GN1,NONE,O15M,2006,71
50E6,ENG,IIA,3B2,GN1,NONE,O15M,2006,18
50E7,ENG,IIA,3B2,GN1,NONE,O15M,2006,756
51E7,ENG,IIA,3B2,GN1,NONE,O15M,2006,173
51E8,ENG,IIA,3B2,GN1,NONE,O15M,2006,442
52E9,ENG,IIA,3B2,GN1,NONE,O15M,2006,542
52F0,ENG,IIA,3B2,GN1,NONE,O15M,2006,328
32F2,ENG,IIA,3B2,GN1,NONE,O15M,2006,31
32F3,ENG,IIA,3B2,GN1,NONE,O15M,2006,73
33F2,ENG,IIA,3B2,GN1,NONE,O15M,2006,360
33F3,ENG,IIA,3B2,GN1,NONE,O15M,2006,172
34F3,ENG,IIA,3B2,GN1,NONE,O15M,2006,439
35F3,ENG,IIA,3B2,GN1,NONE,O15M,2006,40
36F3,ENG,IIA,3B2,GN1,NONE,O15M,2006,61
37F4,ENG,IIA,3B2,GN1,NONE,O15M,2006,208
38F4,ENG,IIA,3B2,GN1,NONE,O15M,2006,28
38F5,ENG,IIA,3B2,GN1,NONE,O15M,2006,68
38F6,ENG,IIA,3B2,GN1,NONE,O15M,2006,56
37F4,ENG,IIA,3B2,GN1,NONE,O15M,2006,48
37F5,ENG,IIA,3B2,GN1,NONE,O15M,2006,48
37F6,ENG,IIA,3B2,GN1,NONE,O15M,2006,48
38F4,ENG,IIA,3B2,GN1,NONE,O15M,2006,48
32F2,NLD,IIA,3B2,GN1,NONE,O15M,2006,10
32F3,NLD,IIA,3B2,GN1,NONE,O15M,2006,229
32F3,NLD,IIA,3B2,GN1,NONE,O15M,2006,34
32F4,NLD,IIA,3B2,GN1,NONE,O15M,2006,6
33F4,NLD,IIA,3B2,GN1,NONE,O15M,2006,18
31F1,NLD,IIA,3B2,GN1,NONE,O15M,2006,3
31F2,NLD,IIA,3B2,GN1,NONE,O15M,2006,3
34F4,NLD,IIA,3B2,GN1,NONE,O15M,2006,8
32F3,NLD,IIA,3B2,GN1,NONE,O15M,2006,32
53E8,SCO,IIA,3B2,GN1,NONE,O15M,2006,29
53F0,SCO,IIA,3B2,GN1,NONE,O15M,2006,169
53F1,SCO,IIA,3B2,GN1,NONE,O15M,2006,400
50E7,SCO,IIA,3B2,GN1,NONE,O15M,2006,173
51E7,SCO,IIA,3B2,GN1,NONE,O15M,2006,86
51E8,SCO,IIA,3B2,GN1,NONE,O15M,2006,346
52E8,SCO,IIA,3B2,GN1,NONE,O15M,2006,144
52E9,SCO,IIA,3B2,GN1,NONE,O15M,2006,754
52F0,SCO,IIA,3B2,GN1,NONE,O15M,2006,29
52F0,SCO,IIA,3B2,GN1,NONE,O15M,2006,231
42F8,DNK,IIA,3B2,NONE,NONE,O10T15M,2006,58
42F9,DNK,IIA,3B2,NONE,NONE,O10T15M,2006,53
42F7,DNK,IIA,3B2,NONE,NONE,O10T15M,2006,32
41E7,SCO,IIA,3B2,NONE,NONE,O10T15M,2006,216
45E6,SCO,IIA,3B2,NONE,NONE,O10T15M,2006,86
46E6,SCO,IIA,3B2,NONE,NONE,O10T15M,2006,579
46E7,SCO,IIA,3B2,NONE,NONE,O10T15M,2006,144
47E6,SCO,IIA,3B2,NONE,NONE,O10T15M,2006,918
42F8,DNK,IIA,3B2,NONE,NONE,U10M,2006,20
41F8,DNK,IIA,3B2,NONE,NONE,U10M,2006,7
42F8,DNK,IIA,3B2,NONE,NONE,U10M,2006,14
32F3,NLD,IIA,3B2,NONE,NONE,U10M,2006,29
33F2,NLD,IIA,3B2,NONE,NONE,U10M,2006,13
41E7,SCO,IIA,3B2,NONE,NONE,U10M,2006,552
46E6,SCO,IIA,3B2,NONE,NONE,U10M,2006,2808
46E7,SCO,IIA,3B2,NONE,NONE,U10M,2006,62
47E6,SCO,IIA,3B2,NONE,NONE,U10M,2006,48
47E7,SCO,IIA,3B2,NONE,NONE,U10M,2006,5926
