country,annex,regulated area,regulated gear,specon,vessel length,year,Effective Effort,area,fishery,gear,ICES rectangle,mesh_size_range,quarter
DEU,IIA,3B2,BEAM,NONE,O15M,2006,982,4,NONE,BEAM,39F7,16-31,1
DEU,IIA,3B2,BEAM,NONE,O15M,2006,1005,4,NONE,BEAM,39F8,16-31,1
DEU,IIA,3B2,BEAM,NONE,O15M,2006,6,4,NONE,BEAM,40F4,16-31,1
DEU,IIA,3B2,BEAM,NONE,O15M,2006,265,4,NONE,BEAM,40F7,16-31,1
DEU,IIA,3B2,BEAM,NONE,O15M,2006,10,4,NONE,BEAM,36F8,55-69,1
DEU,IIA,3B2,BT2,NONE,O15M,2006,339,4,NONE,BEAM,33F2,80-89,1
DEU,IIA,3B2,BT2,NONE,O15M,2006,66,4,NONE,BEAM,33F3,80-89,1
DEU,IIA,3B2,BT2,NONE,O15M,2006,34,4,NONE,BEAM,33F4,80-89,1
DEU,IIA,3B2,BT2,NONE,O15M,2006,781,4,NONE,BEAM,34F3,80-89,1
DEU,IIA,3B2,BT2,NONE,O15M,2006,655,4,NONE,BEAM,34F4,80-89,1
DEU,IIA,3B2,BT2,NONE,O15M,2006,163,4,NONE,BEAM,35F3,80-89,1
DEU,IIA,3B2,BT2,NONE,O15M,2006,1097,4,NONE,BEAM,35F4,80-89,1
DEU,IIA,3B2,BT2,NONE,O15M,2006,315,4,NONE,BEAM,36F2,80-89,1
DEU,IIA,3B2,BT2,NONE,O15M,2006,637,4,NONE,BEAM,36F3,80-89,1
DEU,IIA,3B2,BT2,NONE,O15M,2006,2560,4,NONE,BEAM,36F4,80-89,1
DEU,IIA,3B2,BT2,NONE,O15M,2006,1020,4,NONE,BEAM,36F5,80-89,1
DEU,IIA,3B2,BT2,NONE,O15M,2006,99,4,NONE,BEAM,36F6,80-89,1
DEU,IIA,3B2,BT2,NONE,O15M,2006,20,4,NONE,BEAM,37F1,80-89,1
DEU,IIA,3B2,BT2,NONE,O15M,2006,146,4,NONE,BEAM,37F2,80-89,1
DEU,IIA,3B2,BT2,NONE,O15M,2006,80,4,NONE,BEAM,37F3,80-89,1
DEU,IIA,3B2,BT2,NONE,O15M,2006,1654,4,NONE,BEAM,37F4,80-89,1
DEU,IIA,3B2,BT2,NONE,O15M,2006,1230,4,NONE,BEAM,37F5,80-89,1
DEU,IIA,3B2,BT2,NONE,O15M,2006,20,4,NONE,BEAM,37F6,80-89,1
DEU,IIA,3B2,BT2,NONE,O15M,2006,172,4,NONE,BEAM,38F4,80-89,1
DEU,IIA,3B2,BT2,NONE,O15M,2006,60,4,NONE,BEAM,38F6,80-89,1
DEU,IIA,3B2,BT2,NONE,O15M,2006,8,4,NONE,BEAM,39F6,80-89,1
DEU,IIA,3B2,BT2,NONE,O15M,2006,14,4,NONE,BEAM,39F7,80-89,1
DEU,IIA,3B2,BT2,NONE,O15M,2006,38,4,NONE,BEAM,40F7,80-89,1
DNK,IIA,3B2,BEAM,NONE,O15M,2006,43,4,DNK_HESTE_REJ__N,BEAM,39F7,<16,1
DNK,IIA,3B2,BEAM,NONE,O15M,2006,156,4,DNK_HESTE_REJ__N,BEAM,39F8,<16,1
DNK,IIA,3B2,BEAM,NONE,O15M,2006,55,4,DNK_HESTE_REJ__N,BEAM,40F7,<16,1
DNK,IIA,3B2,BEAM,NONE,O15M,2006,18,4,DNK_HESTE_REJ__N,BEAM,40F8,<16,1
DNK,IIA,3B2,BT1,NONE,O15M,2006,22,4,DNK_BOMTRWL___NS,BEAM,37F6,>=120,1
DNK,IIA,3B2,BT1,NONE,O15M,2006,24,4,DNK_BOMTRWL___NS,BEAM,37F7,>=120,1
DNK,IIA,3B2,BT1,NONE,O15M,2006,3,4,DNK_BOMTRWL___NS,BEAM,37F8,>=120,1
DNK,IIA,3B2,BT1,NONE,O15M,2006,240,4,DNK_BOMTRWL___NS,BEAM,38F6,>=120,1
DNK,IIA,3B2,BT1,NONE,O15M,2006,1528,4,DNK_BOMTRWL___NS,BEAM,39F6,>=120,1
DNK,IIA,3B2,BT1,NONE,O15M,2006,6,4,DNK_BOMTRWL___NS,BEAM,39F8,>=120,1
DNK,IIA,3B2,BT1,NONE,O15M,2006,24,4,DNK_BOMTRWL___NS,BEAM,40F5,>=120,1
DNK,IIA,3B2,BT1,NONE,O15M,2006,95,4,DNK_BOMTRWL___NS,BEAM,40F6,>=120,1
DNK,IIA,3B2,BT1,NONE,O15M,2006,26,4,DNK_BOMTRWL___NS,BEAM,40F7,>=120,1
DNK,IIA,3B2,BT1,NONE,O15M,2006,72,4,DNK_BOMTRWL___NS,BEAM,41F5,>=120,1
DNK,IIA,3B2,BT1,NONE,O15M,2006,67,4,DNK_BOMTRWL___NS,BEAM,41F6,>=120,1
DNK,IIA,3B2,BT1,NONE,O15M,2006,210,4,DNK_BOMTRWL___NS,BEAM,41F7,>=120,1
DNK,IIA,3B2,BT1,NONE,O15M,2006,23,4,DNK_BOMTRWL___NS,BEAM,41F8,>=120,1
DNK,IIA,3B2,BT1,NONE,O15M,2006,177,4,DNK_BOMTRWL___NS,BEAM,42F6,>=120,1
DNK,IIA,3B2,BT1,NONE,O15M,2006,154,4,DNK_BOMTRWL___NS,BEAM,42F7,>=120,1
DNK,IIA,3B2,BT1,NONE,O15M,2006,44,4,DNK_BOMTRWL___NS,BEAM,43F6,>=120,1
DNK,IIA,3B2,BT1,NONE,O15M,2006,243,4,DNK_BOMTRWL___NS,BEAM,43F7,>=120,1
DNK,IIA,3B2,BT1,NONE,O15M,2006,316,4,DNK_BOMTRWL___NS,BEAM,43F8,>=120,1
DNK,IIA,3B2,BT1,NONE,O15M,2006,55,4,DNK_HESTE_REJ__N,BEAM,37F8,>=120,1
DNK,IIA,3B2,BT2,NONE,O15M,2006,382,4,DNK_BOMTRWL___NS,BEAM,39F6,100-119,1
DNK,IIA,3B2,BT2,NONE,O15M,2006,24,4,DNK_BOMTRWL___NS,BEAM,39F7,100-119,1
DNK,IIA,3B2,BEAM,NONE,O15M,2006,37,4,DNK_HESTE_REJ__N,BEAM,37F7,16-31,1
DNK,IIA,3B2,BEAM,NONE,O15M,2006,874,4,DNK_HESTE_REJ__N,BEAM,37F8,16-31,1
DNK,IIA,3B2,BEAM,NONE,O15M,2006,54,4,DNK_HESTE_REJ__N,BEAM,38F7,16-31,1
DNK,IIA,3B2,BEAM,NONE,O15M,2006,1012,4,DNK_HESTE_REJ__N,BEAM,39F7,16-31,1
DNK,IIA,3B2,BEAM,NONE,O15M,2006,2866,4,DNK_HESTE_REJ__N,BEAM,39F8,16-31,1
DNK,IIA,3B2,BEAM,NONE,O15M,2006,133,4,DNK_HESTE_REJ__N,BEAM,40F6,16-31,1
DNK,IIA,3B2,BEAM,NONE,O15M,2006,5168,4,DNK_HESTE_REJ__N,BEAM,40F7,16-31,1
DNK,IIA,3B2,BEAM,NONE,O15M,2006,4129,4,DNK_HESTE_REJ__N,BEAM,40F8,16-31,1
DNK,IIA,3B2,BEAM,NONE,O15M,2006,440,4,DNK_HESTE_REJ__N,BEAM,41F7,16-31,1
DNK,IIA,3B2,BEAM,NONE,O15M,2006,189,4,DNK_HESTE_REJ__N,BEAM,41F8,16-31,1
DNK,IIA,3B2,BEAM,NONE,O15M,2006,207,4,DNK_HESTE_REJ__N,BEAM,42F8,16-31,1
DNK,IIA,3B2,BEAM,NONE,O15M,2006,24,4,DNK_REST_NORD__N,BEAM,40F7,16-31,1
DNK,IIA,3B2,BEAM,NONE,O15M,2006,45,4,DNK_REST_NORD__N,BEAM,40F8,16-31,1
DNK,IIA,3B2,BT2,NONE,O15M,2006,91,4,DNK_HESTE_REJ__N,BEAM,40F8,90-99,1
DNK,IIA,3B2,BT2,NONE,O15M,2006,19,4,DNK_HESTE_REJ__N,BEAM,41F8,90-99,1
ENG,IIA,3B2,BEAM,NONE,O15M,2006,24,4,NONE,BEAM,38F3,<16,1
ENG,IIA,3B2,BEAM,NONE,O15M,2006,64,4,NONE,BEAM,39F3,<16,1
ENG,IIA,3B2,BEAM,NONE,O15M,2006,72,4,NONE,BEAM,39F4,<16,1
ENG,IIA,3B2,BEAM,NONE,O15M,2006,120,4,NONE,BEAM,39F6,<16,1
ENG,IIA,3B2,BEAM,NONE,O15M,2006,32,4,NONE,BEAM,40F4,<16,1
ENG,IIA,3B2,BT1,NONE,O15M,2006,30,4,NONE,BEAM,37F3,>=120,1
ENG,IIA,3B2,BT1,NONE,O15M,2006,29,4,NONE,BEAM,38F3,>=120,1
ENG,IIA,3B2,BT1,NONE,O15M,2006,24,4,NONE,BEAM,39F2,>=120,1
ENG,IIA,3B2,BT1,NONE,O15M,2006,58,4,NONE,BEAM,39F3,>=120,1
ENG,IIA,3B2,BT1,NONE,O15M,2006,115,4,NONE,BEAM,39F4,>=120,1
ENG,IIA,3B2,BT1,NONE,O15M,2006,29,4,NONE,BEAM,39F5,>=120,1
ENG,IIA,3B2,BT1,NONE,O15M,2006,24,4,NONE,BEAM,39F6,>=120,1
ENG,IIA,3B2,BT1,NONE,O15M,2006,54,4,NONE,BEAM,39F7,>=120,1
ENG,IIA,3B2,BT1,NONE,O15M,2006,53,4,NONE,BEAM,40F4,>=120,1
ENG,IIA,3B2,BT1,NONE,O15M,2006,86,4,NONE,BEAM,40F5,>=120,1
ENG,IIA,3B2,BT1,NONE,O15M,2006,77,4,NONE,BEAM,40F6,>=120,1
ENG,IIA,3B2,BT1,NONE,O15M,2006,102,4,NONE,BEAM,40F7,>=120,1
ENG,IIA,3B2,BT1,NONE,O15M,2006,24,4,NONE,BEAM,41F4,>=120,1
ENG,IIA,3B2,BT1,NONE,O15M,2006,360,4,NONE,BEAM,41F5,>=120,1
ENG,IIA,3B2,BT1,NONE,O15M,2006,233,4,NONE,BEAM,41F6,>=120,1
ENG,IIA,3B2,BT1,NONE,O15M,2006,143,4,NONE,BEAM,41F7,>=120,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,86,4,NONE,BEAM,33F2,100-119,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,29,4,NONE,BEAM,33F3,100-119,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,29,4,NONE,BEAM,34F2,100-119,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,115,4,NONE,BEAM,37F3,100-119,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,86,4,NONE,BEAM,38F2,100-119,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,169,4,NONE,BEAM,38F3,100-119,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,203,4,NONE,BEAM,38F4,100-119,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,94,4,NONE,BEAM,38F5,100-119,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,82,4,NONE,BEAM,38F6,100-119,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,29,4,NONE,BEAM,39F2,100-119,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,938,4,NONE,BEAM,39F3,100-119,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,1546,4,NONE,BEAM,39F4,100-119,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,396,4,NONE,BEAM,39F5,100-119,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,314,4,NONE,BEAM,39F6,100-119,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,29,4,NONE,BEAM,40F3,100-119,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,540,4,NONE,BEAM,40F4,100-119,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,89,4,NONE,BEAM,40F5,100-119,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,60,4,NONE,BEAM,40F6,100-119,1
ENG,IIA,3B2,BEAM,NONE,O15M,2006,36,4,NONE,BEAM,31F4,16-31,1
ENG,IIA,3B2,BEAM,NONE,O15M,2006,120,4,NONE,BEAM,34F0,16-31,1
ENG,IIA,3B2,BEAM,NONE,O15M,2006,156,4,NONE,BEAM,34F1,16-31,1
ENG,IIA,3B2,BEAM,NONE,O15M,2006,1920,4,NONE,BEAM,35F0,16-31,1
ENG,IIA,3B2,BEAM,NONE,O15M,2006,336,4,NONE,BEAM,35F1,16-31,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,111,4,NONE,BEAM,31F1,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,60,4,NONE,BEAM,32F1,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,252,4,NONE,BEAM,32F2,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,1087,4,NONE,BEAM,33F2,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,1150,4,NONE,BEAM,33F3,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,132,4,NONE,BEAM,33F4,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,48,4,NONE,BEAM,34F1,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,366,4,NONE,BEAM,34F2,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,2126,4,NONE,BEAM,34F3,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,681,4,NONE,BEAM,34F4,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,24,4,NONE,BEAM,35F0,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,84,4,NONE,BEAM,35F1,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,582,4,NONE,BEAM,35F2,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,872,4,NONE,BEAM,35F3,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,350,4,NONE,BEAM,35F4,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,59,4,NONE,BEAM,36F0,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,174,4,NONE,BEAM,36F1,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,648,4,NONE,BEAM,36F2,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,740,4,NONE,BEAM,36F3,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,535,4,NONE,BEAM,36F4,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,214,4,NONE,BEAM,36F5,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,24,4,NONE,BEAM,36F6,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,24,4,NONE,BEAM,36F7,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,315,4,NONE,BEAM,37F0,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,166,4,NONE,BEAM,37F1,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,144,4,NONE,BEAM,37F2,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,283,4,NONE,BEAM,37F3,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,337,4,NONE,BEAM,37F4,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,583,4,NONE,BEAM,37F5,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,300,4,NONE,BEAM,37F6,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,24,4,NONE,BEAM,38E9,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,29,4,NONE,BEAM,38F0,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,72,4,NONE,BEAM,38F3,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,458,4,NONE,BEAM,38F4,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,706,4,NONE,BEAM,38F5,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,961,4,NONE,BEAM,38F6,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,48,4,NONE,BEAM,39F2,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,30,4,NONE,BEAM,39F3,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,434,4,NONE,BEAM,39F6,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,86,4,NONE,BEAM,39F7,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,30,4,NONE,BEAM,40F4,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,75,4,NONE,BEAM,40F6,80-89,1
ENG,IIA,3B2,BT2,NONE,O15M,2006,144,4,NONE,BEAM,40F7,80-89,1
FRA,IIA,3B2,BEAM,NONE,O15M,2006,188,4,COASTAL,BEAM,31F2,16-31,1
FRA,IIA,3B2,BT2,NONE,O15M,2006,174,4,COASTAL,BEAM,31F2,80-89,1
FRA,IIA,3B2,BT2,NONE,O15M,2006,10,4,ZZZ,BEAM,31F2,80-89,1
NLD,IIA,3B2,BT1,NONE,O15M,2006,18,4,FLAT,BEAM,31F3,>=120,1
NLD,IIA,3B2,BT1,NONE,O15M,2006,59,4,FLAT,BEAM,32F2,>=120,1
NLD,IIA,3B2,BT1,NONE,O15M,2006,12,4,FLAT,BEAM,32F3,>=120,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,226,4,FLAT,BEAM,33F3,100-119,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,15,4,FLAT,BEAM,36F2,100-119,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,51,4,FLAT,BEAM,37F1,100-119,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,6,4,FLAT,BEAM,38F2,100-119,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,20,4,FLAT,BEAM,38F5,100-119,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,59,4,FLAT,BEAM,39F0,100-119,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,41,4,FLAT,BEAM,39F3,100-119,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,61,4,FLAT,BEAM,39F4,100-119,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,4,4,FLAT,BEAM,39F5,100-119,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,12,4,FLAT,BEAM,40F3,100-119,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,263,4,FLAT,BEAM,40F4,100-119,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,40,4,FLAT,BEAM,40F5,100-119,1
NLD,IIA,3B2,BEAM,NONE,O15M,2006,1011,4,SHR,BEAM,32F3,16-31,1
NLD,IIA,3B2,BEAM,NONE,O15M,2006,299,4,SHR,BEAM,32F4,16-31,1
NLD,IIA,3B2,BEAM,NONE,O15M,2006,596,4,SHR,BEAM,33F3,16-31,1
NLD,IIA,3B2,BEAM,NONE,O15M,2006,722,4,SHR,BEAM,33F4,16-31,1
NLD,IIA,3B2,BEAM,NONE,O15M,2006,46,4,SHR,BEAM,34F4,16-31,1
NLD,IIA,3B2,BEAM,NONE,O15M,2006,40,4,SHR,BEAM,35F4,16-31,1
NLD,IIA,3B2,BEAM,NONE,O15M,2006,44,4,SHR,BEAM,35F5,16-31,1
NLD,IIA,3B2,BEAM,NONE,O15M,2006,22,4,SHR,BEAM,36F4,16-31,1
NLD,IIA,3B2,BEAM,NONE,O15M,2006,26,4,SHR,BEAM,36F5,16-31,1
NLD,IIA,3B2,BEAM,NONE,O15M,2006,28,4,SHR,BEAM,38F7,16-31,1
NLD,IIA,3B2,BEAM,NONE,O15M,2006,124,4,SHR,BEAM,40F7,16-31,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,382,4,FLAT,BEAM,31F1,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,3756,4,FLAT,BEAM,31F2,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,417,4,FLAT,BEAM,31F3,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,16,4,FLAT,BEAM,32F1,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,5695,4,FLAT,BEAM,32F2,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,5948,4,FLAT,BEAM,32F3,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,29,4,FLAT,BEAM,32F4,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,23,4,FLAT,BEAM,33F1,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,4858,4,FLAT,BEAM,33F2,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,10512,4,FLAT,BEAM,33F3,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,1475,4,FLAT,BEAM,33F4,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,3249,4,FLAT,BEAM,34F2,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,9378,4,FLAT,BEAM,34F3,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,5747,4,FLAT,BEAM,34F4,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,757,4,FLAT,BEAM,35F1,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,2448,4,FLAT,BEAM,35F2,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,2568,4,FLAT,BEAM,35F3,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,6111,4,FLAT,BEAM,35F4,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,657,4,FLAT,BEAM,35F5,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,340,4,FLAT,BEAM,36F0,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,1259,4,FLAT,BEAM,36F1,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,1976,4,FLAT,BEAM,36F2,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,2377,4,FLAT,BEAM,36F3,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,7753,4,FLAT,BEAM,36F4,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,4955,4,FLAT,BEAM,36F5,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,20,4,FLAT,BEAM,36F6,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,12,4,FLAT,BEAM,36F7,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,829,4,FLAT,BEAM,37F0,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,2203,4,FLAT,BEAM,37F1,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,655,4,FLAT,BEAM,37F2,80-89,1
NLD,IIA,3B2,BT2,NONE,O15M,2006,308,4,FLAT,BEAM,37F3,80-89,1
BEL,IIA,3B2,BEAM,NONE,O10T15M,2006,16,4,NONE,BEAM,31F1,16-31,1
BEL,IIA,3B2,BEAM,NONE,O10T15M,2006,317,4,NONE,BEAM,31F2,16-31,1
BEL,IIA,3B2,BEAM,NONE,O10T15M,2006,21,4,NONE,BEAM,31F3,16-31,1
BEL,IIA,3B2,BT2,NONE,O10T15M,2006,37,4,NONE,BEAM,31F1,80-89,1
BEL,IIA,3B2,BT2,NONE,O10T15M,2006,21,4,NONE,BEAM,31F2,80-89,1
DEU,IIA,3B2,BEAM,NONE,O10T15M,2006,43,4,NONE,BEAM,36F6,16-31,1
DEU,IIA,3B2,BEAM,NONE,O10T15M,2006,71,4,NONE,BEAM,36F7,16-31,1
DEU,IIA,3B2,BEAM,NONE,O10T15M,2006,143,4,NONE,BEAM,36F8,16-31,1
