Index,Sal,variable,Harbour porpoise,Seals,Sharks,Rays,Cod (adult),Whiting (adult),Other gadoids,Demersal fish,Herring (adult),Herring (adult) (Ru),Juvenile Herring (Ru),Sprat,Mackerel,Mackerel (Ru),Horse mackerel,Sandeels,Plaice (adult),Dab,Other flatfish,Sole (adult),Sea Bass,Sea Bass (Ru),Pelagic fish,Squid & cuttlefish,Carnivorous plankton,Temora longicornis,Herbivorous plankton (copepods),Gelatinous zooplankton,Large crabs + shrimps ,Blue mussels (aquaculture),Epifaunal macrobenthos (mobile grazers),Infaunal macrobenthos,Crangon (below 5cm),Small mobile epifauna (swarming crustaceans),Small infauna (polychaetes),Sessile epifauna
16,0.5,0.516666667,3.76E-05,0.000224024,3.69E-06,1.41E-08,6.59E-15,1.01E-05,7.52E-07,1.21E-06,0.000322565,2.23E-05,2.23E-05,0.000211402,0,2.29E-11,2.81E-06,6.60E-05,3.97E-12,3.29E-08,0.000133442,6.23E-07,2.86E-07,0.5,1.43E-05,9.55E-09,2.35E-08,0.5,5.99E-07,5.09E-05,1.88E-07,0.00032585,1.05E-06,6.68E-08,0.000138411,1.57E-17,9.01E-08,4.05E-07
17,0.533333333,0.55,3.86E-05,0.000230937,3.78E-06,1.45E-08,7.96E-15,1.05E-05,7.71E-07,1.24E-06,0.000345198,2.28E-05,2.28E-05,0.000228382,0,2.37E-11,2.88E-06,6.80E-05,4.58E-12,3.63E-08,0.000137528,6.58E-07,2.93E-07,0.5,1.46E-05,9.81E-09,2.41E-08,0.5,6.14E-07,5.24E-05,1.93E-07,0.000339883,1.08E-06,6.86E-08,0.000144219,1.64E-17,9.26E-08,4.16E-07
18,0.566666667,0.583333333,3.96E-05,0.000238063,3.87E-06,1.49E-08,9.62E-15,1.08E-05,7.90E-07,1.27E-06,0.00036942,2.34E-05,2.34E-05,0.000246726,0,2.45E-11,2.94E-06,6.99E-05,5.30E-12,4.00E-08,0.000141738,6.96E-07,3.01E-07,0.5,1.50E-05,1.01E-08,2.48E-08,0.5,6.30E-07,5.39E-05,1.98E-07,0.000354521,1.11E-06,7.05E-08,0.00015027,1.71E-17,9.52E-08,4.28E-07
19,0.6,0.616666667,4.06E-05,0.000245409,3.96E-06,1.53E-08,1.16E-14,1.12E-05,8.10E-07,1.31E-06,0.00039534,2.39E-05,2.39E-05,0.000266542,0,2.53E-11,3.01E-06,7.19E-05,6.12E-12,4.40E-08,0.000146078,7.36E-07,3.08E-07,0.5,1.54E-05,1.03E-08,2.55E-08,0.5,6.46E-07,5.55E-05,2.03E-07,0.000369788,1.13E-06,7.24E-08,0.000156574,1.79E-17,9.79E-08,4.39E-07
20,0.633333333,0.65,4.16E-05,0.000252981,4.05E-06,1.57E-08,1.40E-14,1.16E-05,8.30E-07,1.35E-06,0.000423078,2.45E-05,2.45E-05,0.000287949,0,2.62E-11,3.08E-06,7.40E-05,7.07E-12,4.85E-08,0.00015055,7.79E-07,3.16E-07,0.5,1.58E-05,1.06E-08,2.63E-08,0.5,6.63E-07,5.71E-05,2.08E-07,0.000385713,1.16E-06,7.44E-08,0.000163144,1.87E-17,1.01E-07,4.51E-07
21,0.666666667,0.683333333,4.27E-05,0.000260787,4.14E-06,1.61E-08,1.70E-14,1.20E-05,8.51E-07,1.38E-06,0.000452762,2.50E-05,2.50E-05,0.000311075,0,2.71E-11,3.16E-06,7.62E-05,8.18E-12,5.35E-08,0.000155159,8.23E-07,3.24E-07,0.5,1.62E-05,1.09E-08,2.70E-08,0.5,6.80E-07,5.88E-05,2.13E-07,0.000402323,1.19E-06,7.64E-08,0.000169988,1.96E-17,1.04E-07,4.63E-07
22,0.7,0.716666667,4.38E-05,0.000268834,4.24E-06,1.65E-08,2.05E-14,1.24E-05,8.73E-07,1.42E-06,0.000484527,2.56E-05,2.56E-05,0.000336058,0,2.80E-11,3.23E-06,7.84E-05,9.45E-12,5.90E-08,0.00015991,8.71E-07,3.32E-07,0.5,1.66E-05,1.12E-08,2.78E-08,0.5,6.98E-07,6.05E-05,2.19E-07,0.000419648,1.22E-06,7.85E-08,0.00017712,2.05E-17,1.06E-07,4.76E-07
23,0.733333333,0.75,4.49E-05,0.00027713,4.34E-06,1.69E-08,2.48E-14,1.28E-05,8.95E-07,1.46E-06,0.00051852,2.62E-05,2.62E-05,0.000363047,0,2.89E-11,3.31E-06,8.07E-05,1.09E-11,6.50E-08,0.000164805,9.21E-07,3.41E-07,0.5,1.70E-05,1.15E-08,2.85E-08,0.5,7.16E-07,6.22E-05,2.24E-07,0.000437719,1.25E-06,8.07E-08,0.000184551,2.14E-17,1.09E-07,4.88E-07
24,0.766666667,0.783333333,4.61E-05,0.000285681,4.44E-06,1.74E-08,3.00E-14,1.32E-05,9.17E-07,1.50E-06,0.000554896,2.68E-05,2.68E-05,0.000392202,0,2.99E-11,3.38E-06,8.30E-05,1.26E-11,7.17E-08,0.000169851,9.73E-07,3.50E-07,0.5,1.74E-05,1.18E-08,2.94E-08,0.5,7.34E-07,6.41E-05,2.30E-07,0.000456568,1.28E-06,8.29E-08,0.000192294,2.24E-17,1.13E-07,5.01E-07
25,0.8,0.816666667,4.73E-05,0.000294496,4.55E-06,1.79E-08,3.62E-14,1.37E-05,9.40E-07,1.54E-06,0.000593822,2.74E-05,2.74E-05,0.000423697,0,3.09E-11,3.46E-06,8.54E-05,1.46E-11,7.90E-08,0.000175051,1.03E-06,3.59E-07,0.5,1.78E-05,1.21E-08,3.02E-08,0.5,7.53E-07,6.59E-05,2.36E-07,0.000476228,1.31E-06,8.51E-08,0.000200362,2.35E-17,1.16E-07,5.15E-07
26,0.833333333,0.85,4.85E-05,0.000303582,4.65E-06,1.83E-08,4.37E-14,1.41E-05,9.64E-07,1.59E-06,0.000635478,2.81E-05,2.81E-05,0.000457721,0,3.20E-11,3.55E-06,8.79E-05,1.69E-11,8.71E-08,0.00018041,1.09E-06,3.68E-07,0.5,1.83E-05,1.25E-08,3.10E-08,0.5,7.72E-07,6.78E-05,2.42E-07,0.000496734,1.34E-06,8.74E-08,0.000208768,2.45E-17,1.19E-07,5.29E-07
27,0.866666667,0.883333333,4.97E-05,0.000312949,4.76E-06,1.88E-08,5.29E-14,1.46E-05,9.88E-07,1.63E-06,0.000680053,2.87E-05,2.87E-05,0.000494475,0,3.30E-11,3.63E-06,9.04E-05,1.95E-11,9.60E-08,0.000185934,1.15E-06,3.77E-07,0.5,1.87E-05,1.28E-08,3.19E-08,0.5,7.92E-07,6.98E-05,2.48E-07,0.000518123,1.38E-06,8.98E-08,0.000217527,2.57E-17,1.22E-07,5.43E-07
28,0.9,0.916666667,5.10E-05,0.000322605,4.87E-06,1.93E-08,6.39E-14,1.51E-05,1.01E-06,1.68E-06,0.000727753,2.94E-05,2.94E-05,0.000534179,0,3.42E-11,3.71E-06,9.30E-05,2.25E-11,1.06E-07,0.000191626,1.22E-06,3.87E-07,0.5,1.92E-05,1.31E-08,3.28E-08,0.5,8.12E-07,7.18E-05,2.54E-07,0.000540432,1.41E-06,9.23E-08,0.000226652,2.68E-17,1.26E-07,5.58E-07
29,0.933333333,0.95,5.23E-05,0.000332559,4.98E-06,1.98E-08,7.72E-14,1.56E-05,1.04E-06,1.72E-06,0.000778796,3.01E-05,3.01E-05,0.00057707,0,3.53E-11,3.80E-06,9.57E-05,2.60E-11,1.17E-07,0.000197493,1.29E-06,3.97E-07,0.5,1.97E-05,1.35E-08,3.38E-08,0.5,8.33E-07,7.39E-05,2.60E-07,0.000563701,1.45E-06,9.48E-08,0.000236161,2.81E-17,1.29E-07,5.73E-07
30,0.966666667,0.983333333,5.37E-05,0.00034282,5.10E-06,2.04E-08,9.33E-14,1.62E-05,1.06E-06,1.77E-06,0.000833417,3.08E-05,3.08E-05,0.000623402,0,3.65E-11,3.89E-06,9.85E-05,3.01E-11,1.29E-07,0.000203539,1.36E-06,4.07E-07,0.5,2.02E-05,1.39E-08,3.47E-08,0.5,8.55E-07,7.61E-05,2.67E-07,0.000587972,1.48E-06,9.74E-08,0.000246069,2.94E-17,1.33E-07,5.88E-07
31,1,1.016666667,5.50E-05,0.000353397,5.22E-06,2.09E-08,1.13E-13,1.67E-05,1.09E-06,1.82E-06,0.000891864,3.15E-05,3.15E-05,0.000673451,0,3.78E-11,3.98E-06,0.000101366,3.47E-11,1.42E-07,0.00020977,1.44E-06,4.17E-07,0.5,2.07E-05,1.42E-08,3.57E-08,0.5,8.77E-07,7.83E-05,2.74E-07,0.000613287,1.52E-06,1.00E-07,0.000256392,3.07E-17,1.37E-07,6.04E-07
32,1.033333333,1.05,5.64E-05,0.000364301,5.34E-06,2.15E-08,1.36E-13,1.73E-05,1.12E-06,1.87E-06,0.000954407,3.22E-05,3.22E-05,0.000727516,0,3.90E-11,4.08E-06,0.000104303,4.01E-11,1.56E-07,0.000216192,1.52E-06,4.28E-07,0.5,2.12E-05,1.46E-08,3.67E-08,0.5,8.99E-07,8.06E-05,2.81E-07,0.000639691,1.56E-06,1.03E-07,0.000267148,3.21E-17,1.41E-07,6.20E-07
33,1.066666667,1.083333333,5.79E-05,0.000375541,5.47E-06,2.20E-08,1.65E-13,1.79E-05,1.15E-06,1.92E-06,0.001021331,3.30E-05,3.30E-05,0.000785917,0,4.04E-11,4.17E-06,0.000107326,4.64E-11,1.72E-07,0.00022281,1.61E-06,4.39E-07,0.5,2.17E-05,1.50E-08,3.78E-08,0.5,9.22E-07,8.29E-05,2.88E-07,0.000667231,1.59E-06,1.06E-07,0.000278355,3.36E-17,1.45E-07,6.37E-07
34,1.1,1.116666667,5.94E-05,0.000387127,5.59E-06,2.26E-08,1.99E-13,1.85E-05,1.18E-06,1.98E-06,0.001092942,3.38E-05,3.38E-05,0.000849003,0,4.17E-11,4.27E-06,0.000110436,5.36E-11,1.90E-07,0.000229631,1.70E-06,4.50E-07,0.5,2.23E-05,1.54E-08,3.88E-08,0.5,9.46E-07,8.53E-05,2.95E-07,0.000695956,1.63E-06,1.08E-07,0.000290032,3.51E-17,1.49E-07,6.54E-07
35,1.133333333,1.15,6.09E-05,0.000399071,5.73E-06,2.32E-08,2.40E-13,1.91E-05,1.21E-06,2.03E-06,0.001169569,3.46E-05,3.46E-05,0.000917148,0,4.31E-11,4.37E-06,0.000113636,6.19E-11,2.09E-07,0.000236661,1.80E-06,4.61E-07,0.5,2.28E-05,1.58E-08,3.99E-08,0.5,9.70E-07,8.78E-05,3.02E-07,0.000725917,1.67E-06,1.11E-07,0.000302199,3.68E-17,1.53E-07,6.72E-07
36,1.166666667,1.183333333,6.25E-05,0.000411383,5.86E-06,2.38E-08,2.90E-13,1.97E-05,1.24E-06,2.09E-06,0.001251562,3.54E-05,3.54E-05,0.000990757,0,4.46E-11,4.47E-06,0.000116929,7.16E-11,2.30E-07,0.000243906,1.90E-06,4.73E-07,0.5,2.34E-05,1.63E-08,4.11E-08,0.5,9.95E-07,9.03E-05,3.10E-07,0.000757166,1.71E-06,1.14E-07,0.000314877,3.84E-17,1.57E-07,6.90E-07
37,1.2,1.216666667,6.41E-05,0.000424075,6.00E-06,2.45E-08,3.51E-13,2.04E-05,1.27E-06,2.15E-06,0.001339294,3.62E-05,3.62E-05,0.001070268,0,4.61E-11,4.58E-06,0.000120318,8.27E-11,2.54E-07,0.000251373,2.01E-06,4.85E-07,0.5,2.40E-05,1.67E-08,4.22E-08,0.5,1.02E-06,9.30E-05,3.18E-07,0.00078976,1.76E-06,1.18E-07,0.000328085,4.02E-17,1.62E-07,7.09E-07
38,1.233333333,1.25,6.57E-05,0.000437158,6.14E-06,2.51E-08,4.24E-13,2.11E-05,1.30E-06,2.21E-06,0.001433168,3.70E-05,3.70E-05,0.001156152,0,4.77E-11,4.68E-06,0.000123804,9.56E-11,2.80E-07,0.000259068,2.13E-06,4.97E-07,0.5,2.46E-05,1.72E-08,4.34E-08,0.5,1.05E-06,9.57E-05,3.26E-07,0.000823756,1.80E-06,1.21E-07,0.000341848,4.21E-17,1.66E-07,7.28E-07
39,1.266666667,1.283333333,6.74E-05,0.000450645,6.28E-06,2.58E-08,5.12E-13,2.18E-05,1.33E-06,2.27E-06,0.001533612,3.79E-05,3.79E-05,0.001248919,0,4.93E-11,4.79E-06,0.000127392,1.10E-10,3.09E-07,0.000266999,2.25E-06,5.10E-07,0.5,2.52E-05,1.76E-08,4.46E-08,0.5,1.07E-06,9.85E-05,3.34E-07,0.000859214,1.84E-06,1.24E-07,0.000356188,4.40E-17,1.71E-07,7.47E-07
40,1.3,1.316666667,6.91E-05,0.000464548,6.43E-06,2.65E-08,6.19E-13,2.25E-05,1.36E-06,2.33E-06,0.001641084,3.88E-05,3.88E-05,0.00134912,0,5.10E-11,4.91E-06,0.000131084,1.28E-10,3.40E-07,0.000275172,2.38E-06,5.23E-07,0.5,2.58E-05,1.81E-08,4.59E-08,0.5,1.10E-06,0.00010132,3.42E-07,0.000896196,1.89E-06,1.27E-07,0.000371129,4.60E-17,1.76E-07,7.67E-07
41,1.333333333,1.35,7.09E-05,0.000478879,6.58E-06,2.72E-08,7.48E-13,2.33E-05,1.40E-06,2.40E-06,0.001756073,3.97E-05,3.97E-05,0.001457348,0,5.27E-11,5.02E-06,0.000134882,1.48E-10,3.75E-07,0.000283596,2.52E-06,5.36E-07,0.5,2.65E-05,1.86E-08,4.72E-08,0.5,1.13E-06,0.000104266,3.51E-07,0.000934769,1.94E-06,1.31E-07,0.000386697,4.81E-17,1.81E-07,7.88E-07
42,1.366666667,1.383333333,7.27E-05,0.000493652,6.73E-06,2.79E-08,9.04E-13,2.41E-05,1.43E-06,2.47E-06,0.001879105,4.06E-05,4.06E-05,0.001574245,0,5.45E-11,5.14E-06,0.000138791,1.70E-10,4.13E-07,0.000292277,2.66E-06,5.50E-07,0.5,2.71E-05,1.91E-08,4.85E-08,0.5,1.16E-06,0.000107297,3.60E-07,0.000975001,1.98E-06,1.34E-07,0.000402917,5.03E-17,1.86E-07,8.09E-07
43,1.4,1.416666667,7.46E-05,0.000508881,6.89E-06,2.86E-08,1.09E-12,2.49E-05,1.47E-06,2.53E-06,0.002010739,4.15E-05,4.15E-05,0.001700502,0,5.63E-11,5.26E-06,0.000142813,1.97E-10,4.56E-07,0.000301224,2.81E-06,5.64E-07,0.5,2.78E-05,1.96E-08,4.99E-08,0.5,1.19E-06,0.000110417,3.69E-07,0.001016962,2.03E-06,1.38E-07,0.000419818,5.27E-17,1.91E-07,8.31E-07
44,1.433333333,1.45,7.65E-05,0.000524579,7.05E-06,2.94E-08,1.32E-12,2.58E-05,1.51E-06,2.60E-06,0.002151575,4.25E-05,4.25E-05,0.001836867,0,5.82E-11,5.38E-06,0.000146951,2.28E-10,5.02E-07,0.000310445,2.98E-06,5.78E-07,0.5,2.85E-05,2.01E-08,5.13E-08,0.5,1.22E-06,0.000113628,3.78E-07,0.001060727,2.08E-06,1.42E-07,0.000437427,5.51E-17,1.96E-07,8.53E-07
45,1.466666667,1.483333333,7.85E-05,0.000540761,7.21E-06,3.02E-08,1.60E-12,2.66E-05,1.54E-06,2.68E-06,0.002302252,4.35E-05,4.35E-05,0.001984145,0,6.02E-11,5.51E-06,0.000151209,2.63E-10,5.53E-07,0.000319948,3.15E-06,5.93E-07,0.5,2.92E-05,2.07E-08,5.28E-08,0.5,1.25E-06,0.000116932,3.88E-07,0.001106374,2.13E-06,1.46E-07,0.000455774,5.76E-17,2.02E-07,8.76E-07
46,1.5,1.516666667,8.05E-05,0.000557443,7.38E-06,3.10E-08,1.93E-12,2.75E-05,1.58E-06,2.75E-06,0.002463455,4.45E-05,4.45E-05,0.002143206,0,6.22E-11,5.64E-06,0.000155591,3.04E-10,6.10E-07,0.000329742,3.33E-06,6.08E-07,0.5,3.00E-05,2.12E-08,5.43E-08,0.5,1.28E-06,0.000120332,3.98E-07,0.001153983,2.19E-06,1.50E-07,0.000474891,6.02E-17,2.08E-07,9.00E-07
47,1.533333333,1.55,8.26E-05,0.000574638,7.55E-06,3.18E-08,2.33E-12,2.85E-05,1.62E-06,2.83E-06,0.002635916,4.56E-05,4.56E-05,0.002314989,0,6.44E-11,5.77E-06,0.000160099,3.51E-10,6.72E-07,0.000339835,3.52E-06,6.24E-07,0.5,3.07E-05,2.18E-08,5.58E-08,0.5,1.32E-06,0.00012383,4.08E-07,0.001203638,2.24E-06,1.54E-07,0.000494808,6.30E-17,2.13E-07,9.24E-07
48,1.566666667,1.583333333,8.47E-05,0.000592364,7.73E-06,3.27E-08,2.82E-12,2.94E-05,1.66E-06,2.91E-06,0.002820416,4.66E-05,4.66E-05,0.002500507,0,6.65E-11,5.91E-06,0.000164739,4.06E-10,7.41E-07,0.000350238,3.72E-06,6.40E-07,0.5,3.15E-05,2.24E-08,5.74E-08,0.5,1.35E-06,0.000127431,4.18E-07,0.001255427,2.29E-06,1.58E-07,0.000515561,6.59E-17,2.19E-07,9.49E-07
49,1.6,1.616666667,8.69E-05,0.000610636,7.91E-06,3.35E-08,3.40E-12,3.04E-05,1.71E-06,2.99E-06,0.003017791,4.77E-05,4.77E-05,0.002700851,0,6.88E-11,6.05E-06,0.000169512,4.69E-10,8.17E-07,0.000360959,3.94E-06,6.56E-07,0.5,3.23E-05,2.30E-08,5.90E-08,0.5,1.38E-06,0.000131136,4.29E-07,0.001309441,2.35E-06,1.62E-07,0.000537184,6.89E-17,2.26E-07,9.75E-07
50,1.633333333,1.65,8.91E-05,0.000629471,8.10E-06,3.44E-08,4.11E-12,3.15E-05,1.75E-06,3.07E-06,0.003228933,4.88E-05,4.88E-05,0.0029172,0,7.11E-11,6.19E-06,0.000174424,5.42E-10,9.00E-07,0.000372007,4.16E-06,6.73E-07,0.5,3.31E-05,2.36E-08,6.07E-08,0.5,1.42E-06,0.000134949,4.39E-07,0.001365776,2.41E-06,1.67E-07,0.000559713,7.21E-17,2.32E-07,1.00E-06
51,1.666666667,1.683333333,9.14E-05,0.000648887,8.28E-06,3.53E-08,4.97E-12,3.25E-05,1.79E-06,3.16E-06,0.003454798,4.99E-05,4.99E-05,0.003150824,0,7.35E-11,6.33E-06,0.000179479,6.27E-10,9.92E-07,0.000383394,4.40E-06,6.90E-07,0.5,3.39E-05,2.43E-08,6.24E-08,0.5,1.46E-06,0.000138873,4.50E-07,0.001424531,2.47E-06,1.71E-07,0.000583187,7.54E-17,2.39E-07,1.03E-06
52,1.7,1.716666667,9.37E-05,0.000668901,8.48E-06,3.63E-08,6.00E-12,3.36E-05,1.84E-06,3.25E-06,0.003696403,5.11E-05,5.11E-05,0.003403095,0,7.60E-11,6.48E-06,0.000184679,7.24E-10,1.09E-06,0.000395129,4.65E-06,7.07E-07,0.5,3.48E-05,2.49E-08,6.42E-08,0.5,1.49E-06,0.00014291,4.62E-07,0.00148581,2.53E-06,1.76E-07,0.000607644,7.89E-17,2.45E-07,1.06E-06
53,1.733333333,1.75,9.61E-05,0.000689532,8.68E-06,3.73E-08,7.25E-12,3.48E-05,1.88E-06,3.34E-06,0.003954837,5.23E-05,5.23E-05,0.003675489,0,7.86E-11,6.64E-06,0.000190031,8.37E-10,1.21E-06,0.000407223,4.92E-06,7.25E-07,0.5,3.56E-05,2.56E-08,6.60E-08,0.5,1.53E-06,0.000147066,4.74E-07,0.001549721,2.59E-06,1.81E-07,0.000633127,8.25E-17,2.52E-07,1.08E-06
